Date,Label,Avoir,Devoir,Montant
01.01.16,OUVERTURE CAISSE,1100,9000,225.00
01.01.16,OUVERTURE CCP,1200,9000,6200.50
01.01.16,OUVERTURE Capital,9000,2800,6425.50
06.01.16,Vente livres,1100,4000,249.00
07.01.16,Achat livres,3100,1200,480.00
15.01.16,Vente livres,1100,4000,78.00
20.01.16,Vente livres,1100,4000,145.00
25.01.16,Salaire,3800,1200,750.00
25.01.16,Achat livres,3100,1200,120.00
26.01.16,Vente livres,1100,4000,22.00
02.02.16,Vente livres,1100,4000,80.00
04.01.16,Vente livres,1100,4000,245.00
11.02.16,Vente livres,1100,4000,320.00
16.02.16,Vente livres,1100,4000,110.00
25.02.16,Salaire,3800,1200,750.00
27.02.16,Vente livres,1100,4000,1250.00
28.02.16,Vente livres,1100,4000,189.00
